app,prompt,contributor,techstack
"多人3D飞机游戏","使用Three.js、HTML5、CSS3和JavaScript配合WebSocket创建沉浸式多人飞机战斗游戏。实现包含俯仰、偏航、滚转和油门控制的详细3D飞机模型与真实飞行物理。添加跟随玩家飞机的平滑摄像机控制并支持可配置视角（驾驶舱、追逐、轨道）。创建包含动态昼夜和天气效果的天空盒环境。使用WebSocket实现多人功能，实时同步位置、战斗和游戏状态。添加包含弹道物理、命中检测和伤害模型的武器系统。包含引擎尾气、武器开火、爆炸和损伤的粒子效果。创建显示速度、高度、航向、雷达、生命值和武器状态的HUD。使用Web Audio API实现引擎、武器、爆炸和环境音效。添加包含死亡竞赛和团队战斗的多种比赛模式及计分系统。包含支持不同武器和能力的可定制飞机配置。创建用于比赛创建和队伍分配的房间系统。实现客户端预测和延迟补偿以优化多人体验。添加显示玩家位置和目标的迷你地图。包含比赛回放和精彩片段生成系统。创建支持键盘/鼠标和游戏手柄的响应式控制方案。",@f,"HTML,CSS,JavaScript,Three.js,WebSocket"
"待办清单","使用HTML5、CSS3和原生JavaScript创建响应式待办应用。应用应采用CSS Grid/Flexbox实现现代简洁的UI和直观控制。实现包含增删改查功能的完整任务管理（添加/编辑/删除/完成任务）并添加平滑动画。包含颜色编码和优先级分类（低/中/高）。添加日期选择组件和提醒通知功能。使用localStorage实现会话间数据持久化。实现支持状态、分类和日期范围筛选的搜索功能。使用HTML5拖放API实现任务拖拽排序。确保设计完全响应式并使用媒体查询设置合理断点。包含尊重用户系统偏好的深色/浅色主题切换。添加微交互和过渡效果提升用户体验。",@f,"HTML,CSS,JavaScript"
"天气仪表盘","使用HTML5、CSS3、JavaScript和OpenWeatherMap API构建综合天气仪表盘。创建根据天气/昼夜变化显示实时天气条件的视觉界面（包含图标和背景变化）。显示包含每日小时级展开视图的5日天气预报。实现支持城市名和坐标的自动补全和历史记录的位置搜索。添加自动定位功能获取用户位置。包含温度单位（℃/℉）和时间格式切换。显示极端天气警报并高亮优先级。展示包含风速/风向、湿度、气压、紫外线指数和空气质量的详细气象数据。显示日出/日落时间并添加视觉指示。使用CSS Grid创建适应所有设备尺寸的响应式布局并合理调整信息密度。",@f,"HTML,CSS,JavaScript,API"
"科学计算器","使用HTML5、CSS3和JavaScript创建专业级科学计算器。实现符合运算优先级的基本算术运算。包含三角函数、对数函数、指数函数、统计函数并支持角度/弧度切换。添加带视觉指示的内存操作（M+/M-/MR/MC）。维护可滚动的计算历史记录并支持清除或保存。实现完整键盘支持和合理键位映射。添加针对除零、无效运算和溢出的错误处理及提示信息。创建根据屏幕尺寸/方向切换标准和科学布局的响应式设计。包含经典、现代、高对比度等多种主题选项。添加带音量控制的按键音效反馈。实现结果和表达式的复制粘贴功能。",@f,"HTML,CSS,JavaScript"
"Markdown笔记","使用HTML5、CSS3和JavaScript构建功能丰富的Markdown笔记应用。创建包含编辑器和实时预览的分屏界面。实现完整Markdown语法支持（包含表格、代码块语法高亮和LaTeX公式）。添加带嵌套分类、标签和收藏夹的层级组织系统。包含带过滤和内容索引的高级搜索功能。使用localStorage并支持导出/导入备份数据。支持导出笔记为PDF、HTML和Markdown格式。实现带语法高亮主题的自定义深色/浅色模式。创建适应不同屏幕尺寸的响应式布局并支持面板折叠。添加提升效率的键盘快捷键。包含带版本历史和恢复功能的自动保存系统。",@f,"HTML,CSS,JavaScript"
"番茄钟","使用HTML5、CSS3和JavaScript创建符合时间管理技术的综合番茄钟应用。设计包含动态圆形进度指示器的优雅界面。支持自定义工作时长（默认25分钟）、短休息（默认5分钟）和长休息（默认15分钟）。添加任务列表关联功能。包含带音量控制的间隔切换音效。实现包含日/周生产力统计的可视化图表。使用localStorage持久化设置和历史记录。作为PWA实现离线安装和通知功能。添加用于快速控制的键盘快捷键。包含支持自定义颜色和字体的多主题选项。添加工作时段防干扰的专注模式。",@f,"HTML,CSS,JavaScript"
"互动测验","使用HTML5、CSS3和JavaScript开发综合互动测验应用。创建包含问题过渡动画的吸引人界面。支持多项选择、是非题、配对题和简答题并实现自动评分。添加每题可配置计时器和视觉倒计时。实现基于难度和答题时间的积分追踪。显示动态进度条展示完成度。测验结束后提供包含解析的复习模式。使用localStorage实现持久化排行榜。按分类组织问题并添加自定义图标和描述。支持多难度等级影响评分和时限。生成包含分析建议的成绩报告。添加结果社交分享功能。",@f,"HTML,CSS,JavaScript"
"高级颜色选择工具","为设计师和开发者构建专业级颜色工具。创建包含吸管工具、色轮、滑块的直观界面。实时转换RGB、RGBA、HSL、HSLA、HEX、CMYK等颜色格式并支持复制。添加包含互补色、相邻色、三角配色等方案的调色板生成器。实现带命名收藏夹和导出功能的收藏系统。可视化展示配色和谐规则并支持交互调整。创建支持线性、径向和锥形渐变的渐变生成器。添加WCAG合规性检查、对比度检测和色盲模拟。实现一键复制CSS、SCSS和SVG代码片段。包含颜色命名算法。支持导出为Adobe ASE、JSON、CSS变量等格式。",@f,"HTML,CSS,JavaScript"
"安全密码生成工具","使用HTML5、CSS3和JavaScript创建加密安全的密码生成器。构建实时预览界面。支持自定义密码长度和不同安全等级预设。包含大小写、数字、符号的切换选项和视觉指示。实现显示熵值位数和破解时间的高级强度计。添加带确认和自动剪贴板清除的复制按钮。创建加密本地存储的密码保险库。支持批量生成多个密码。维护包含生成时间戳的密码历史。使用标准公式计算熵值。提供基于短语和模式的易记密码选项。包含加密导出功能。",@f,"HTML,CSS,JavaScript"
"健康指标计算器","基于医学标准使用HTML5、CSS3和JavaScript构建综合健康指标计算器。创建分步输入的简洁可访问界面。实现包含视觉分类刻度和健康风险评估的BMI计算。添加海军法、杰克逊-波洛克法和生物电阻抗模拟的体脂率计算。使用Hamwi、Devine、Robinson、Miller公式计算理想体重范围。实现包含基础代谢率（Harris-Benedict、Mifflin-St Jeor、Katch-McArdle公式）和基于活动量的每日总消耗热量计算。根据指标提供个性化健康建议。支持公制和英制单位转换。存储用户档案和测量历史并可视化趋势。生成交互式进度图表。创建包含所有指标的可打印/导出PDF报告。",@f,"HTML,CSS,JavaScript"
"货币兑换计算器","使用HTML5、CSS3、JavaScript和可靠汇率API开发综合货币转换器。创建包含醒目输入框和货币选择器的简洁界面。实现带时间戳显示的实时汇率。支持170+种货币（含加密货币）的符号和格式转换。维护包含时间戳和汇率的转换历史。允许收藏常用货币对。生成支持自定义时间范围的交互式历史汇率图表。实现使用缓存数据的离线功能并显示过期提示。添加用于复杂转换的内置计算器。创建目标汇率提醒功能。包含不同提供商的汇率对比。支持导出为PDF、CSV、JSON格式。",@f,"HTML,CSS,JavaScript,API"
"文件加密工具","使用HTML5、CSS3和Web Crypto API创建客户端文件加密工具。构建带进度指示的拖放文件选择界面。实现基于密码的PBKDF2密钥派生的AES-256-GCM加密。支持多文件批量加密。包含密码强度检测和熵值计算。生成带自定义扩展名的可下载加密文件。创建带密码验证的解密界面。实现敏感数据自动清除的安全内存处理。添加不存储敏感信息的加密操作日志。支持加密密钥的导入/导出并提示安全警告。使用流式加密支持大文件处理。",@f,"HTML,CSS,JavaScript"
"代码片段管理器","使用HTML5、CSS3和JavaScript构建开发者专用代码片段管理器。创建类IDE界面并支持30+种编程语言语法高亮。实现标签和分类系统组织代码片段。添加支持正则表达式和语言/标签筛选的高级搜索。包含带行号、缩进引导和括号匹配的代码编辑功能。支持代码片段的公开/私有可见性设置。实现JSON和Gist格式的导入/导出。添加常用操作的键盘快捷键。创建全设备兼容的响应式设计。包含自动保存和版本历史功能。实现保留语法格式的剪贴板复制功能。",@f,"HTML,CSS,JavaScript"
"预算追踪器","使用HTML5、CSS3和JavaScript开发综合预算追踪应用。创建显示收入、支出、储蓄和预算状态的直观仪表盘。实现包含分类、标签和定期交易的交易管理。添加按分类和时间段划分的交互式图表。包含预算目标设置、进度追踪和提醒功能。支持多账户管理和转账功能。实现设备摄像头的收据扫描和存储。添加CSV和PDF格式的报告导出。采用移动优先的响应式设计。包含数据备份和恢复功能。添加基于当前趋势的财务预测功能。",@f,"HTML,CSS,JavaScript"
"食谱查找器","使用HTML5、CSS3、JavaScript和食物API创建食谱查找应用。构建包含美食摄影和直观导航的视觉界面。实现按食材、菜系、饮食限制和准备时间的高级搜索。添加带星级系统的用户评分和评论。包含卡路里、营养素和过敏原的详细营养信息。支持食谱收藏和分类。实现带拖放功能的膳食计划日历。添加自动调整份量的食材换算功能。包含带步骤说明和计时器的烹饪模式。支持离线访问收藏食谱。添加社交分享功能。",@f,"HTML,CSS,JavaScript,API"
"看板工具","使用HTML5、CSS3和JavaScript构建看板项目管理工具。创建支持自定义列（待办、进行中、已完成等）的灵活布局。实现列间卡片拖放移动和动画效果。添加带富文本格式、标签、截止日期和优先级的卡片创建。包含用户头像分配和按负责人筛选。实现卡片评论和操作历史。添加列排序和主题配色的看板定制。支持多看板快速切换。使用localStorage实现数据持久化并提供导入/导出功能。创建适应不同屏幕的响应式设计。添加常用操作的键盘快捷键。",@f,"HTML,CSS,JavaScript"
